id,smiles_in,smiles_out,valid_out,exact_match,tanimoto,delta_atoms,delta_bonds,delta_rings,delta_aromatic,delta_heteroatoms,atoms_in,atoms_out
48,CC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3c(O)ccnc32)CC1,CC(C)C(N)c1cccc(F)c1N1CCN(C(=O)C2CCOC2c2ccc(Cl)cc2)CC1,1,0,0.16129032258064516,6.0,6.0,0.0,0.0,2.0,26,32.0
49,Cc1cc(C)cc(Sc2cncc3sc(C(N)=O)cc23)c1,Cc1ccccc1C(=O)N1CCC(C(=O)Nc2ccc(S(=O)(=O)N3CCCCC3)cc2)CC1,1,0,0.08536585365853659,12.0,13.0,1.0,-3.0,3.0,21,33.0
50,Cc1cc(NN=C2CCC(C)n3c2ncc(C(=O)O)c3=O)ccc1Br,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(Cl)cc1Cl,1,0,0.17647058823529413,0.0,0.0,0.0,6.0,0.0,25,25.0
51,NC(=O)c1cc(-c2ccc(Cl)cc2)nnc1Cl,CN(C)c1ncnc2c1ncn2Cc1cccc(CO)c1,1,0,0.07692307692307693,4.0,5.0,1.0,3.0,0.0,17,21.0
52,c1ccc(Cn2cnc3c(NC4CC4)ncnc32)cc1,O=C(c1ccc(Cl)cc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,1,0,0.08,4.0,3.0,-1.0,3.0,3.0,20,24.0
53,CNc1ncnc2c1ncn2Cc1ccccc1C(F)(F)F,CNc1ncnc2c1ncn2Cc1c(F)cccc1Cl,1,0,0.5454545454545454,-2.0,-2.0,0.0,0.0,-1.0,22,20.0
54,NC1=NC(c2ccc(Cl)cc2)Cc2ccccc21,Nc1nc(N)c2c(Sc3ccc(Cl)c(Cl)c3)cccc2n1,1,0,0.15,3.0,3.0,0.0,4.0,4.0,18,21.0
55,CCCNC(=O)c1cc(OC)c(CC(C)N)cc1OC,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,1,0,0.12195121951219512,8.0,11.0,3.0,4.0,0.0,20,28.0
56,CCNC1CC(C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,,0,0,NA,NA,NA,NA,NA,NA,19,NA
57,CC(C)(C)NCC(O)COC(=O)c1ccncc1,CC(C)C(N)c1cccc(F)c1N1CCN(C(=O)C2NCCC2c2ccc(Cl)cc2)CC1,1,0,0.09302325581395349,14.0,17.0,3.0,6.0,2.0,18,32.0
58,CCNc1ccccc1N1CCN(C(=O)c2cc3ccccc3[nH]2)CC1,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,1,0,0.08791208791208792,2.0,2.0,0.0,-5.0,0.0,26,28.0
59,COc1ccccc1N1CCN(C(C)CCN2C(=O)NC3c4ccccc4N(C)C3C2=O)CC1,COc1ccc(C2(O)OC(=O)C(c3ccc4c(c3)OCO4)=C2CC2CCCC2)cc1,1,0,0.13402061855670103,-4.0,-4.0,0.0,0.0,-2.0,34,30.0
60,CCNc1cccc(N2CCN(C(=O)c3ccc4[nH]ccc4c3)CC2)n1,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,1,0,0.08247422680412371,2.0,2.0,0.0,-5.0,-1.0,26,28.0
61,CC[C@H]1Cc2cc3c(C(F)(F)F)cc(O)nc3cc2N[C@@H]1CC,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,1,0,0.0898876404494382,5.0,6.0,1.0,0.0,-1.0,23,28.0
62,CCOC(=O)C1=C(O)C(=O)N(Cc2ccco2)C1,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,1,0,0.11627906976744186,10.0,12.0,2.0,5.0,-1.0,18,28.0
63,CS(=O)(=O)c1cccc(OC2CCN(C(=O)NCc3ccc(Cl)cc3Cl)CC2)c1,O=C(c1ccc(Cl)cc1)C(O)(Cn1cncn1)c1ccc(Cl)cc1,1,0,0.14634146341463414,-5.0,-5.0,0.0,5.0,-2.0,29,24.0
64,Fc1ccccc1Cn1cnc2c(N3CCCC3)ncnc21,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,1,0,0.044444444444444446,6.0,6.0,0.0,-5.0,-1.0,22,28.0
65,CC1Cc2cc3c(cc2C(c2ccc(N)cc2)=NN1C(=O)C(C)(C)C)OCO3,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(Cl)cc1Cl,1,0,0.11764705882352941,-3.0,-4.0,-1.0,6.0,2.0,28,25.0
66,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)O[C@H](C)[C@H](C)[C@@H]3O,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,1,0,0.75,1.0,1.0,0.0,0.0,0.0,27,28.0
67,COc1cc(Cl)ccc1CC1CNC(=O)CN(S(=O)(=O)c2ccc(Cl)cc2)C1=O,COc1ccc(C2(O)OC(=O)C(c3ccc4c(c3)OCO4)=C2CC2CCCC2)cc1,1,0,0.16666666666666666,1.0,3.0,2.0,0.0,-4.0,29,30.0
68,O=C(CCC(=O)N1CCN(S(=O)(=O)c2ccc3ccccc3c2)CC1)NCC(F)(F)F,O=C(c1ccc(Cl)cc1)C(O)(Cn1cncn1)c1ccc(Cl)cc1,1,0,0.11538461538461539,-7.0,-7.0,0.0,7.0,-4.0,31,24.0
69,CS(=O)(=O)c1c(F)cc(-c2cc(C(N)=O)c(Cl)nn2)cc1F,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,1,0,0.05813953488372093,6.0,8.0,2.0,-2.0,-5.0,22,28.0
70,COc1ccc2c(c1)CCC=C2CCCN1CCN(c2ccccn2)CC1,COc1ccc(C2(O)OC(=O)C(c3ccc4c(c3)OCO4)=C2CC2CCCC2)cc1,1,0,0.15053763440860216,3.0,4.0,1.0,0.0,2.0,27,30.0
71,CCN1CCCC1CNC(=O)c1cc(NS(C)(=O)=O)c(C)cc1OC,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,1,0,0.09278350515463918,3.0,5.0,2.0,4.0,-3.0,25,28.0
72,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(Cl)cc1Cl,1,0,0.1625,1.0,1.0,0.0,6.0,0.0,24,25.0
73,CN(C)CCCN1c2ccccc2CCc2ccccc21,CN(C)c1ncnc2c1ncn2Cc1cccc(CO)c1,1,0,0.15,0.0,0.0,0.0,3.0,4.0,21,21.0
74,O=S1(=O)N[C@@]2(CN1CC(F)(F)F)[C@@H]1CC[C@H]2Cc2ccc(/C=C/CN3CCCCC3)cc2C1,,0,0,NA,NA,NA,NA,NA,NA,33,NA
75,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)(C)CC3O,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,1,0,0.6666666666666666,1.0,1.0,0.0,0.0,0.0,27,28.0
76,COc1cccc2c1CCC[C@@H]2CN(C)CCc1ccc2c(c1)OCO2,COc1ccc(C2(O)OC(=O)C(c3ccc4c(c3)OCO4)=C2CC2CCCC2)cc1,1,0,0.27380952380952384,4.0,5.0,1.0,0.0,2.0,26,30.0
77,C[C@H]1Cc2cc3c(C(F)(F)F)cc(O)nc3cc2N[C@@H]1C,Cc1cc(C)c(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2)c(C)c1,1,0,0.0958904109589041,4.0,4.0,0.0,8.0,0.0,21,25.0
78,COc1cc(CC(C)N)c(OC)cc1Br,COc1ccc(C2(O)OC(=O)C(c3ccc4c(c3)OCO4)=C2CC2CCCC2)cc1,1,0,0.1232876712328767,15.0,19.0,4.0,6.0,2.0,15,30.0
79,CC(C)(C)NCC(O)COC(=O)C1c2ccccc2-c2ccccc21,CC(C)C(N)c1cccc(F)c1N1CCN(C(=O)C2NCCC2c2ccc(Cl)cc2)CC1,1,0,0.11363636363636363,7.0,8.0,1.0,0.0,3.0,25,32.0
80,c1cncc(-c2nc3c([nH]2)-c2ccccc2CCC3)c1,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)C3O,1,0,0.02247191011235955,7.0,7.0,0.0,-7.0,2.0,20,27.0
81,Nc1nc(N)c2c(n1)CCC(Cc1cccc(OC(F)(F)F)c1)C2,Nc1nc(N)c2c(n1)CCC(Cc1ccc(OC(F)(F)F)cc1)C2,1,0,0.7692307692307693,0.0,0.0,0.0,0.0,0.0,24,24.0
82,Fc1ccc(-c2c(-c3ccncc3)nc3n2CCS3)cc1,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,1,0,0.022727272727272728,7.0,7.0,0.0,-7.0,0.0,21,28.0
83,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,CN(C)c1ncnc2c1ncn2Cc1cccc(CO)c1,1,0,0.14705882352941177,-1.0,-1.0,0.0,3.0,3.0,22,21.0
84,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,1,0,0.09473684210526316,5.0,7.0,2.0,4.0,-3.0,23,28.0
85,CCNCC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CC)c3c2F)C1,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,1,0,0.12371134020618557,1.0,2.0,1.0,0.0,-3.0,27,28.0
86,c1ccc(-c2nc3c([nH]2)CCOc2ccccc2-3)cc1,O=C(c1ccc(Cl)cc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,1,0,0.08450704225352113,4.0,3.0,-1.0,1.0,5.0,20,24.0
87,CC[C@H]1C[C@@H](C)Nc2cc3nc(O)cc(C(F)(F)F)c3cc21,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,1,0,0.10112359550561797,6.0,7.0,1.0,0.0,-1.0,22,28.0
88,CN1C2CCC1CC1(CN=C(c3cn(C)c4ccccc34)O1)C2,CN1CCN(C2=Nc3ccccc3Nc3ccc(Cl)cc32)CC1,1,0,0.1506849315068493,0.0,-1.0,-1.0,3.0,1.0,23,23.0
89,COc1cccc(C2(O)CCCCC2N2CCC3(CC2)C(=O)NCC3c2ccc(F)cc2)c1,COc1ccc(C2(O)OC(=O)C(c3ccc4c(c3)OCO4)=C2CC2CCCC2)cc1,1,0,0.23655913978494625,-3.0,-3.0,0.0,0.0,0.0,33,30.0
90,Cc1cccc(Cl)c1NN=C1CCC(C)n2c1ncc(C(=O)O)c2=O,Cc1cc(C)c(NN=C2CCC(C)n3c2ncc(C(=O)O)c3=O)cc1C,1,0,0.6666666666666666,1.0,1.0,0.0,0.0,-1.0,25,26.0
91,O=C(CN1C(=O)c2ccccc2S1(=O)=O)Nc1ccc(S(=O)(=O)N2CCCCC2)cc1,O=C(c1ccc(Cl)cc1)C(O)(Cn1cncn1)c1ccc(Cl)cc1,1,0,0.09876543209876543,-7.0,-8.0,-1.0,5.0,-4.0,31,24.0
92,O=C(O)C1CN(c2cnc3ccccc3n2)CCN1,O=C(O)CCCCCNC(=O)N1CCC2(CC1)CCN(c1ccncc1)C2,1,0,0.17105263157894737,8.0,8.0,0.0,-4.0,1.0,19,27.0
93,COc1cc(C)cc2c1C(=O)C=C(c1c(C)cc3c(c1OC)C(=O)C(NC(C)=O)=CC3=O)C2=O,,0,0,NA,NA,NA,NA,NA,NA,34,NA
94,CN1CCC23c4c5ccc(O)c4OC2[C@H](O)[C@](CO)(CCc2ccccc2)CC3C1C5,CN1CC(CN2CC(=O)NC2=O)CC2CC(C)(C)CCC21,1,0,0.12903225806451613,-10.0,-13.0,-3.0,-12.0,0.0,31,21.0
95,Cc1nnc2c(NC3CCCC3)nc3ccccc3n12,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(Cl)cc1Cl,1,0,0.09090909090909091,5.0,4.0,-1.0,5.0,3.0,20,25.0
96,CC(=O)N1c2c(cc(Br)cc2S(=O)(=O)NCC2COc3ccccc3O2)CC1C,CC(=O)NCC1CN(c2ccc(N3CCN(C(=O)Nc4ccccn4)CC3)c(F)c2)C(=O)O1,1,0,0.1941747572815534,4.0,4.0,0.0,0.0,2.0,29,33.0
97,COCC(=O)Nc1ccc(Oc2cccc(OC)c2)cc1,O=C(O)CCCCCCC(=O)N1CCC2(CCN(c3ccncc3)CC2)C1,1,0,0.09722222222222222,6.0,7.0,1.0,-6.0,1.0,21,27.0
98,COc1ccnc2c1CCc1cc(Cl)ccc1C2=C1CCN(C(C)=O)CC1,COc1ccc(C2(O)OC(=O)C(c3ccc4c(c3)OCO4)=C2CC2CCCC2)cc1,1,0,0.1276595744680851,3.0,4.0,1.0,0.0,1.0,27,30.0
99,NS(=O)(=O)N1CC2(CCN(C(=O)Nc3ccc(Cl)c(Cl)c3)CC2)c2ccccc21,CNc1ncnc2c1ncn2Cc1c(F)cccc1F,1,0,0.08536585365853659,-9.0,-10.0,-1.0,3.0,-3.0,29,20.0
100,CC(=O)NC[C@H]1CN(c2ccc(C(C)=O)cc2)C(=O)O1,CC(C)C(N)c1cccc(F)c1N1CCN(C(=O)C2CCOC2c2ccc(Cl)cc2)CC1,1,0,0.12790697674418605,12.0,14.0,2.0,6.0,1.0,20,32.0
101,CCC(C)(C)NC(=O)C1CCCN(S(=O)(=O)c2ccc3c(c2)CC(C)N3C(=O)C2CC2)C1,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,1,0,0.09803921568627451,-4.0,-4.0,0.0,4.0,-3.0,32,28.0
