ID,Category,Input_SMILES,Output_SMILES,Tanimoto,Interpretation
3,Low_Similarity_Below_0_4,COc1cccc2c1C(CN(C)CCc1ccc3c(c1)OCO3)CCC2,COc1ccc(C2(O)OC(=O)C(c3ccc4c(c3)OCO4)=C2CC2CCCC2)cc1,0.2738,Low similarity (0.274): Major reconstruction errors.
4,Low_Similarity_Below_0_4,CCc1nnc2c(NCC(C)O)nc3ccccc3n12,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,0.0795,Low similarity (0.080): Major reconstruction errors.
5,Low_Similarity_Below_0_4,COc1ccc(Cl)c(C2(F)C(=O)Nc3c(C(F)(F)F)cccc32)c1,COc1ccc(C2(O)OC(=O)C(c3ccc4c(c3)OCO4)=C2CC2CCCC2)cc1,0.1786,Low similarity (0.179): Major reconstruction errors.
6,Low_Similarity_Below_0_4,COc1ccc(S(=O)(=O)N2CCCc3ccc(Br)cc32)cc1N1CCNCC1,COc1ccc(C2(O)OC(=O)C(c3ccc4c(c3)OCO4)=C2CC2CCCC2)cc1,0.1290,Low similarity (0.129): Major reconstruction errors.
7,Low_Similarity_Below_0_4,COc1ccccc1N1CCN(CCCC2=CCCc3ccccc32)CC1,COc1ccc(C2(O)OC(=O)C(c3ccc4c(c3)OCO4)=C2CC2CCCC2)cc1,0.1111,Low similarity (0.111): Major reconstruction errors.
8,Low_Similarity_Below_0_4,CCc1cccc(NC(=O)C2CCCN2S(=O)(=O)c2ccc3c(c2)CC(C)N3C(C)=O)c1,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,0.0857,Low similarity (0.086): Major reconstruction errors.
9,Low_Similarity_Below_0_4,CC1=C(c2ccc(C(C)C)cc2)S(=O)(=O)N=C1N1CCC(C(=O)NCc2ccc(C)o2)CC1,Cc1cc(C(=O)N2CCCCc3ccccc32)ccc1CNC(=O)N1CCCC1C(=O)N(C)C,0.1650,Low similarity (0.165): Major reconstruction errors.
10,Low_Similarity_Below_0_4,COc1ccc2[nH]c(-c3ccccc3)c(CCNC(=O)C(F)(F)F)c2c1,COc1ccc(C2(O)OC(=O)C(c3ccc4c(c3)OCO4)=C2CC2CCCC2)cc1,0.1705,Low similarity (0.170): Major reconstruction errors.
11,Low_Similarity_Below_0_4,CCN(CC)C(=O)C1CCN(c2nc(N)c3cc(OC)c(OC)cc3n2)CC1,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,0.0968,Low similarity (0.097): Major reconstruction errors.
12,Low_Similarity_Below_0_4,Cc1c(C(=O)NCCN(C)C)oc2ccc(S(=O)(=O)N3CCC4(CC3)OCCO4)cc12,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(Cl)cc1Cl,0.1075,Low similarity (0.108): Major reconstruction errors.
13,Low_Similarity_Below_0_4,O=C(O)C1Cc2cc3c(-c4ccc(F)cc4)noc3c(Cl)c2O1,O=C(O)CCCCCNC(=O)N1CCC2(CC1)CCN(c1ccncc1)C2,0.1163,Low similarity (0.116): Major reconstruction errors.
14,Low_Similarity_Below_0_4,CCNc1cccnc1N1CCN(C(=O)c2cnccn2)CC1,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,0.0761,Low similarity (0.076): Major reconstruction errors.
15,Low_Similarity_Below_0_4,CN(C)c1cccc2c(S(=O)(=O)Nc3ccc(C#N)nn3)cccc12,CN(C)c1ncnc2c1ncn2Cc1cccc(CO)c1,0.1528,Low similarity (0.153): Major reconstruction errors.
16,Low_Similarity_Below_0_4,O=C(CN1CCCCC1)N1CCC(CNc2nc3c(s2)CCCc2ccc(F)cc2-3)CC1,O=C(c1ccc(Cl)cc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,0.0957,Low similarity (0.096): Major reconstruction errors.
18,Low_Similarity_Below_0_4,NS(=O)(=O)c1cc(C(=O)NN2Cc3ccccc3C2CO)ccc1Cl,CNc1ncnc2c1ncn2Cc1c(F)cccc1Cl,0.1190,Low similarity (0.119): Major reconstruction errors.
19,Low_Similarity_Below_0_4,O=C1NC(=O)C(CC#Cc2ccccc2Cl)(S(=O)(=O)c2ccccc2)S1,O=C(c1ccc(Cl)cc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,0.1169,Low similarity (0.117): Major reconstruction errors.
20,Low_Similarity_Below_0_4,CC1(C)N=C(N)N=C(N)N1c1cccc(C(F)(F)F)c1,CC(C)C(N)c1cccc(F)c1N1CCN(C(=O)C2CCOC2c2ccc(Cl)cc2)CC1,0.1047,Low similarity (0.105): Major reconstruction errors.
22,Low_Similarity_Below_0_4,CN1CCCC(CC(=O)N2CCN([C@@H]3c4ccc(Cl)cc4CCc4cccnc43)CC2)C1,CN1CC(CN2CC(=O)NC2=O)CC2CC(C)(C)CCC21,0.1170,Low similarity (0.117): Major reconstruction errors.
24,Low_Similarity_Below_0_4,COc1ccc2c(c1OC)CCC[C@H]2CN(C)CCc1ccc2c(c1)OCO2,COc1ccc(C2(O)OC(=O)C(c3ccc4c(c3)OCO4)=C2CC2CCCC2)cc1,0.2558,Low similarity (0.256): Major reconstruction errors.
25,Low_Similarity_Below_0_4,COc1c(Cl)cc(F)cc1CC1CNC(=O)CN(S(=O)(=O)c2ccc(Cl)cc2)C1=O,COc1ccc(C2(O)OC(=O)C(c3ccc4c(c3)OCO4)=C2CC2CCCC2)cc1,0.1596,Low similarity (0.160): Major reconstruction errors.
26,Low_Similarity_Below_0_4,Cc1ccc(N2CC(C(=O)N3CCC(C(=O)Nc4nnc(C(C)(C)C)s4)CC3)CC2=O)cc1,Cc1ccccc1C(=O)N1CCC(C(=O)Nc2ccc(S(=O)(=O)N(C)C(C)C)cc2)CC1,0.2558,Low similarity (0.256): Major reconstruction errors.
27,Low_Similarity_Below_0_4,CC(=O)NC(=S)NC[C@@H]1C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,CC(=O)NCC1CN(c2ccc(N3CCN(C(=O)Nc4ccccn4)CC3)c(F)c2)C(=O)O1,0.1731,Low similarity (0.173): Major reconstruction errors.
28,Low_Similarity_Below_0_4,CN(C)c1ccc(S(=O)(=O)N2CCOCC2)cc1C(=O)Nc1sc2c(c1C#N)CCC2,CN(C)c1cccc2c(S(=O)(=O)Nc3cnc(Cl)cn3)cccc12,0.1444,Low similarity (0.144): Major reconstruction errors.
32,Low_Similarity_Below_0_4,Cc1cc(-n2ncc(=O)[nH]c2=O)cc(Cl)c1C(=O)c1ccc(Cl)cc1,Cc1cc(C(=O)N2CCCCc3ccccc32)ccc1CNC(=O)N1CCCC1C(=O)N(C)C,0.1383,Low similarity (0.138): Major reconstruction errors.
33,Low_Similarity_Below_0_4,CCCC(=O)Nc1ccc(Cc2cccc3c2CCO3)cc1,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,0.1023,Low similarity (0.102): Major reconstruction errors.
34,Low_Similarity_Below_0_4,CC(=O)N1CCN(c2cnc3cc(Cl)ccc3n2)CC1,CC(C)C(N)c1cccc(F)c1N1CCN(C(=O)C2CCOC2c2ccc(Cl)cc2)CC1,0.2436,Low similarity (0.244): Major reconstruction errors.
35,Low_Similarity_Below_0_4,CC(C)(C)NC(=O)C1CN(S(=O)(=O)c2ccccc2)CCN1S(=O)(=O)c1ccccc1,CC(C)C(N)c1cccc(F)c1N1CCN(C(=O)C2CCOC2c2ccc(Cl)cc2)CC1,0.1379,Low similarity (0.138): Major reconstruction errors.
36,Low_Similarity_Below_0_4,COc1ccc(N2C[C@@H](C)N[C@@H](C)C2)cc1NS(=O)(=O)c1ccc(Br)cc1,COc1ccc(C2(O)OC(=O)C(c3ccc4c(c3)OCO4)=C2CC2CCCC2)cc1,0.1222,Low similarity (0.122): Major reconstruction errors.
37,Low_Similarity_Below_0_4,CC(C)(C)Nc1cccnc1N1CCN(C(=O)c2cc3ccccc3[nH]2)CC1,CC(C)C(N)c1cccc(F)c1N1CCN(C(=O)C2CCOC2c2ccc(Cl)cc2)CC1,0.1596,Low similarity (0.160): Major reconstruction errors.
38,Low_Similarity_Below_0_4,CN1CCC(CC(=O)N2CCN([C@H]3c4ccc(Cl)cc4CCc4cccnc43)CC2)CC1,CN1CC(CN2CC(=O)NC2=O)CC2CC(C)(C)CCC21,0.1111,Low similarity (0.111): Major reconstruction errors.
39,Low_Similarity_Below_0_4,CN1CC(c2ccc(NC(=O)c3nc(C#N)c[nH]3)c(C3=CCCCC3)c2)CN(C)S1(=O)=O,CN1CC(CN2CC(=O)NC2=O)CC2CC(C)(C)CCC21,0.1020,Low similarity (0.102): Major reconstruction errors.
40,Low_Similarity_Below_0_4,O=S(=O)(NCC1OCCc2ccccc21)c1ccc(S(=O)(=O)N2CCOCC2)cc1,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,0.0753,Low similarity (0.075): Major reconstruction errors.
41,Low_Similarity_Below_0_4,O=C(O)C1Nc2cc(Cl)cc(Cl)c2S(=O)(=O)N1Cc1ccc(C(F)(F)F)cc1,O=C(O)CCCCCNC(=O)N1CCC2(CC1)CCN(c1ccncc1)C2,0.1264,Low similarity (0.126): Major reconstruction errors.
42,Low_Similarity_Below_0_4,COc1ccnc(C[S+]([O-])c2nc3cc4c(cc3[nH]2)OC(F)(F)O4)c1,COc1ccc(C2(O)OC(=O)C(c3ccc4c(c3)OCO4)=C2CC2CCCC2)cc1,0.1685,Low similarity (0.169): Major reconstruction errors.
43,Low_Similarity_Below_0_4,COc1cc2nc(N3CCC(C(=O)N4CCOCC4)CC3)nc(N)c2cc1OC,COc1ccc(C2(O)OC(=O)C(c3ccc4c(c3)OCO4)=C2CC2CCCC2)cc1,0.1304,Low similarity (0.130): Major reconstruction errors.
45,Low_Similarity_Below_0_4,C/N=c1\ccc(-c2ccc(N3CC(CNC(C)=O)OC3=O)cc2)ccc1O,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,0.1264,Low similarity (0.126): Major reconstruction errors.
46,Low_Similarity_Below_0_4,O=C(OC1CN2CCC1CC2)C(O)(c1ccccc1)c1cccc(Br)c1,O=C(O)CCCCCNC(=O)N1CCC2(CC1)CCN(c1ccncc1)C2,0.1190,Low similarity (0.119): Major reconstruction errors.
47,Low_Similarity_Below_0_4,O=c1cnn(-c2ccc(C(O)c3ccc(Cl)cc3)c(Cl)c2)c(=O)[nH]1,O=C(O)CCCCCCC(=O)N1CCC2(CCN(c3ccncc3)CC2)C1,0.1026,Low similarity (0.103): Major reconstruction errors.
48,Low_Similarity_Below_0_4,CC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3c(O)ccnc32)CC1,CC(C)C(N)c1cccc(F)c1N1CCN(C(=O)C2CCOC2c2ccc(Cl)cc2)CC1,0.1613,Low similarity (0.161): Major reconstruction errors.
49,Low_Similarity_Below_0_4,Cc1cc(C)cc(Sc2cncc3sc(C(N)=O)cc23)c1,Cc1ccccc1C(=O)N1CCC(C(=O)Nc2ccc(S(=O)(=O)N3CCCCC3)cc2)CC1,0.0854,Low similarity (0.085): Major reconstruction errors.
50,Low_Similarity_Below_0_4,Cc1cc(NN=C2CCC(C)n3c2ncc(C(=O)O)c3=O)ccc1Br,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(Cl)cc1Cl,0.1765,Low similarity (0.176): Major reconstruction errors.
51,Low_Similarity_Below_0_4,NC(=O)c1cc(-c2ccc(Cl)cc2)nnc1Cl,CN(C)c1ncnc2c1ncn2Cc1cccc(CO)c1,0.0769,Low similarity (0.077): Major reconstruction errors.
52,Low_Similarity_Below_0_4,c1ccc(Cn2cnc3c(NC4CC4)ncnc32)cc1,O=C(c1ccc(Cl)cc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,0.0800,Low similarity (0.080): Major reconstruction errors.
54,Low_Similarity_Below_0_4,NC1=NC(c2ccc(Cl)cc2)Cc2ccccc21,Nc1nc(N)c2c(Sc3ccc(Cl)c(Cl)c3)cccc2n1,0.1500,Low similarity (0.150): Major reconstruction errors.
55,Low_Similarity_Below_0_4,CCCNC(=O)c1cc(OC)c(CC(C)N)cc1OC,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,0.1220,Low similarity (0.122): Major reconstruction errors.
57,Low_Similarity_Below_0_4,CC(C)(C)NCC(O)COC(=O)c1ccncc1,CC(C)C(N)c1cccc(F)c1N1CCN(C(=O)C2NCCC2c2ccc(Cl)cc2)CC1,0.0930,Low similarity (0.093): Major reconstruction errors.
58,Low_Similarity_Below_0_4,CCNc1ccccc1N1CCN(C(=O)c2cc3ccccc3[nH]2)CC1,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,0.0879,Low similarity (0.088): Major reconstruction errors.
59,Low_Similarity_Below_0_4,COc1ccccc1N1CCN(C(C)CCN2C(=O)NC3c4ccccc4N(C)C3C2=O)CC1,COc1ccc(C2(O)OC(=O)C(c3ccc4c(c3)OCO4)=C2CC2CCCC2)cc1,0.1340,Low similarity (0.134): Major reconstruction errors.
60,Low_Similarity_Below_0_4,CCNc1cccc(N2CCN(C(=O)c3ccc4[nH]ccc4c3)CC2)n1,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,0.0825,Low similarity (0.082): Major reconstruction errors.
61,Low_Similarity_Below_0_4,CC[C@H]1Cc2cc3c(C(F)(F)F)cc(O)nc3cc2N[C@@H]1CC,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,0.0899,Low similarity (0.090): Major reconstruction errors.
62,Low_Similarity_Below_0_4,CCOC(=O)C1=C(O)C(=O)N(Cc2ccco2)C1,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,0.1163,Low similarity (0.116): Major reconstruction errors.
63,Low_Similarity_Below_0_4,CS(=O)(=O)c1cccc(OC2CCN(C(=O)NCc3ccc(Cl)cc3Cl)CC2)c1,O=C(c1ccc(Cl)cc1)C(O)(Cn1cncn1)c1ccc(Cl)cc1,0.1463,Low similarity (0.146): Major reconstruction errors.
64,Low_Similarity_Below_0_4,Fc1ccccc1Cn1cnc2c(N3CCCC3)ncnc21,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,0.0444,Low similarity (0.044): Major reconstruction errors.
65,Low_Similarity_Below_0_4,CC1Cc2cc3c(cc2C(c2ccc(N)cc2)=NN1C(=O)C(C)(C)C)OCO3,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(Cl)cc1Cl,0.1176,Low similarity (0.118): Major reconstruction errors.
67,Low_Similarity_Below_0_4,COc1cc(Cl)ccc1CC1CNC(=O)CN(S(=O)(=O)c2ccc(Cl)cc2)C1=O,COc1ccc(C2(O)OC(=O)C(c3ccc4c(c3)OCO4)=C2CC2CCCC2)cc1,0.1667,Low similarity (0.167): Major reconstruction errors.
68,Low_Similarity_Below_0_4,O=C(CCC(=O)N1CCN(S(=O)(=O)c2ccc3ccccc3c2)CC1)NCC(F)(F)F,O=C(c1ccc(Cl)cc1)C(O)(Cn1cncn1)c1ccc(Cl)cc1,0.1154,Low similarity (0.115): Major reconstruction errors.
69,Low_Similarity_Below_0_4,CS(=O)(=O)c1c(F)cc(-c2cc(C(N)=O)c(Cl)nn2)cc1F,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,0.0581,Low similarity (0.058): Major reconstruction errors.
70,Low_Similarity_Below_0_4,COc1ccc2c(c1)CCC=C2CCCN1CCN(c2ccccn2)CC1,COc1ccc(C2(O)OC(=O)C(c3ccc4c(c3)OCO4)=C2CC2CCCC2)cc1,0.1505,Low similarity (0.151): Major reconstruction errors.
71,Low_Similarity_Below_0_4,CCN1CCCC1CNC(=O)c1cc(NS(C)(=O)=O)c(C)cc1OC,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,0.0928,Low similarity (0.093): Major reconstruction errors.
72,Low_Similarity_Below_0_4,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(Cl)cc1Cl,0.1625,Low similarity (0.163): Major reconstruction errors.
73,Low_Similarity_Below_0_4,CN(C)CCCN1c2ccccc2CCc2ccccc21,CN(C)c1ncnc2c1ncn2Cc1cccc(CO)c1,0.1500,Low similarity (0.150): Major reconstruction errors.
76,Low_Similarity_Below_0_4,COc1cccc2c1CCC[C@@H]2CN(C)CCc1ccc2c(c1)OCO2,COc1ccc(C2(O)OC(=O)C(c3ccc4c(c3)OCO4)=C2CC2CCCC2)cc1,0.2738,Low similarity (0.274): Major reconstruction errors.
77,Low_Similarity_Below_0_4,C[C@H]1Cc2cc3c(C(F)(F)F)cc(O)nc3cc2N[C@@H]1C,Cc1cc(C)c(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2)c(C)c1,0.0959,Low similarity (0.096): Major reconstruction errors.
78,Low_Similarity_Below_0_4,COc1cc(CC(C)N)c(OC)cc1Br,COc1ccc(C2(O)OC(=O)C(c3ccc4c(c3)OCO4)=C2CC2CCCC2)cc1,0.1233,Low similarity (0.123): Major reconstruction errors.
79,Low_Similarity_Below_0_4,CC(C)(C)NCC(O)COC(=O)C1c2ccccc2-c2ccccc21,CC(C)C(N)c1cccc(F)c1N1CCN(C(=O)C2NCCC2c2ccc(Cl)cc2)CC1,0.1136,Low similarity (0.114): Major reconstruction errors.
80,Low_Similarity_Below_0_4,c1cncc(-c2nc3c([nH]2)-c2ccccc2CCC3)c1,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)C3O,0.0225,Low similarity (0.022): Major reconstruction errors.
82,Low_Similarity_Below_0_4,Fc1ccc(-c2c(-c3ccncc3)nc3n2CCS3)cc1,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,0.0227,Low similarity (0.023): Major reconstruction errors.
83,Low_Similarity_Below_0_4,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,CN(C)c1ncnc2c1ncn2Cc1cccc(CO)c1,0.1471,Low similarity (0.147): Major reconstruction errors.
84,Low_Similarity_Below_0_4,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,0.0947,Low similarity (0.095): Major reconstruction errors.
85,Low_Similarity_Below_0_4,CCNCC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CC)c3c2F)C1,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,0.1237,Low similarity (0.124): Major reconstruction errors.
86,Low_Similarity_Below_0_4,c1ccc(-c2nc3c([nH]2)CCOc2ccccc2-3)cc1,O=C(c1ccc(Cl)cc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,0.0845,Low similarity (0.085): Major reconstruction errors.
87,Low_Similarity_Below_0_4,CC[C@H]1C[C@@H](C)Nc2cc3nc(O)cc(C(F)(F)F)c3cc21,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,0.1011,Low similarity (0.101): Major reconstruction errors.
88,Low_Similarity_Below_0_4,CN1C2CCC1CC1(CN=C(c3cn(C)c4ccccc34)O1)C2,CN1CCN(C2=Nc3ccccc3Nc3ccc(Cl)cc32)CC1,0.1507,Low similarity (0.151): Major reconstruction errors.
89,Low_Similarity_Below_0_4,COc1cccc(C2(O)CCCCC2N2CCC3(CC2)C(=O)NCC3c2ccc(F)cc2)c1,COc1ccc(C2(O)OC(=O)C(c3ccc4c(c3)OCO4)=C2CC2CCCC2)cc1,0.2366,Low similarity (0.237): Major reconstruction errors.
91,Low_Similarity_Below_0_4,O=C(CN1C(=O)c2ccccc2S1(=O)=O)Nc1ccc(S(=O)(=O)N2CCCCC2)cc1,O=C(c1ccc(Cl)cc1)C(O)(Cn1cncn1)c1ccc(Cl)cc1,0.0988,Low similarity (0.099): Major reconstruction errors.
92,Low_Similarity_Below_0_4,O=C(O)C1CN(c2cnc3ccccc3n2)CCN1,O=C(O)CCCCCNC(=O)N1CCC2(CC1)CCN(c1ccncc1)C2,0.1711,Low similarity (0.171): Major reconstruction errors.
94,Low_Similarity_Below_0_4,CN1CCC23c4c5ccc(O)c4OC2[C@H](O)[C@](CO)(CCc2ccccc2)CC3C1C5,CN1CC(CN2CC(=O)NC2=O)CC2CC(C)(C)CCC21,0.1290,Low similarity (0.129): Major reconstruction errors.
95,Low_Similarity_Below_0_4,Cc1nnc2c(NC3CCCC3)nc3ccccc3n12,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(Cl)cc1Cl,0.0909,Low similarity (0.091): Major reconstruction errors.
96,Low_Similarity_Below_0_4,CC(=O)N1c2c(cc(Br)cc2S(=O)(=O)NCC2COc3ccccc3O2)CC1C,CC(=O)NCC1CN(c2ccc(N3CCN(C(=O)Nc4ccccn4)CC3)c(F)c2)C(=O)O1,0.1942,Low similarity (0.194): Major reconstruction errors.
97,Low_Similarity_Below_0_4,COCC(=O)Nc1ccc(Oc2cccc(OC)c2)cc1,O=C(O)CCCCCCC(=O)N1CCC2(CCN(c3ccncc3)CC2)C1,0.0972,Low similarity (0.097): Major reconstruction errors.
98,Low_Similarity_Below_0_4,COc1ccnc2c1CCc1cc(Cl)ccc1C2=C1CCN(C(C)=O)CC1,COc1ccc(C2(O)OC(=O)C(c3ccc4c(c3)OCO4)=C2CC2CCCC2)cc1,0.1277,Low similarity (0.128): Major reconstruction errors.
99,Low_Similarity_Below_0_4,NS(=O)(=O)N1CC2(CCN(C(=O)Nc3ccc(Cl)c(Cl)c3)CC2)c2ccccc21,CNc1ncnc2c1ncn2Cc1c(F)cccc1F,0.0854,Low similarity (0.085): Major reconstruction errors.
100,Low_Similarity_Below_0_4,CC(=O)NC[C@H]1CN(c2ccc(C(C)=O)cc2)C(=O)O1,CC(C)C(N)c1cccc(F)c1N1CCN(C(=O)C2CCOC2c2ccc(Cl)cc2)CC1,0.1279,Low similarity (0.128): Major reconstruction errors.
101,Low_Similarity_Below_0_4,CCC(C)(C)NC(=O)C1CCCN(S(=O)(=O)c2ccc3c(c2)CC(C)N3C(=O)C2CC2)C1,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,0.0980,Low similarity (0.098): Major reconstruction errors.
102,Low_Similarity_Below_0_4,Cc1ccc(Cn2cnc3c(N(C)C)ncnc32)cc1,Cc1ccccc1C(=O)N1CCC(C(=O)Nc2ccc(S(=O)(=O)N3CCCCC3)cc2)CC1,0.0750,Low similarity (0.075): Major reconstruction errors.
103,Low_Similarity_Below_0_4,Cc1nc([C@H](C(=O)N2CCC2)N2C(=O)[C@@H](C3Cc4ccccc4C3)NC(=O)[C@H]2CC(C)C)co1,Cc1cc(C)c(NN=C2CCC(C)n3c2ncc(C(=O)O)c3=O)cc1C,0.1300,Low similarity (0.130): Major reconstruction errors.
104,Low_Similarity_Below_0_4,COc1cc([C@H]2[C@@H](O)N(C)C(=O)[C@]23CCC(=O)N3C)c(Br)cc1Br,COc1ccc(C2(O)OC(=O)C(c3ccc4c(c3)OCO4)=C2CC2CCCC2)cc1,0.1628,Low similarity (0.163): Major reconstruction errors.
105,Low_Similarity_Below_0_4,Brc1cccc2[nH]c3c(c12)CCNC3,COc1ccc(C2(O)OC(=O)C(c3ccc4c(c3)OCO4)=C2CC2CCCC2)cc1,0.0759,Low similarity (0.076): Major reconstruction errors.
106,Low_Similarity_Below_0_4,CC1c2ccccc2CN1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(Cl)cc1Cl,0.1625,Low similarity (0.163): Major reconstruction errors.
